,Exporter,Importer,Exporter_region,Import_region,Weight
8109,United States,Cote d'Ivoire,Northern America,Sub-Saharan Africa,4.5190494039999995
8110,Switzerland,Cambodia,Europe,Eastern and South-Eastern Asia (excl. China),4.515
8111,Jamaica,Guatemala,Latin America and the Caribbean,Latin America and the Caribbean,4.513
8112,Somalia,Belgium,Sub-Saharan Africa,Europe,4.51
8113,Cambodia,France,Eastern and South-Eastern Asia (excl. China),Europe,4.50769204
8114,Morocco,Malta,Northern Africa and Western Asia,Europe,4.507
8115,Egypt,Greece,Northern Africa and Western Asia,Europe,4.50355493
8116,"Congo, Democratic Republic","Congo, Republic",Sub-Saharan Africa,Sub-Saharan Africa,4.493
8117,Cuba,Aruba,Latin America and the Caribbean,Latin America and the Caribbean,4.4879999999999995
8118,Lebanon,Ireland,Northern Africa and Western Asia,Europe,4.48550306
8119,Israel,Nigeria,Northern Africa and Western Asia,Sub-Saharan Africa,4.480785
8120,Nicaragua,Belize,Latin America and the Caribbean,Latin America and the Caribbean,4.4647176
8121,Cyprus,Serbia,Northern Africa and Western Asia,Europe,4.460331999999999
8122,Colombia,Nicaragua,Latin America and the Caribbean,Latin America and the Caribbean,4.457557980000001
8123,Luxembourg,Hungary,Europe,Europe,4.457
8124,Slovenia,Denmark,Europe,Europe,4.45613
8125,Canada,Colombia,Northern America,Latin America and the Caribbean,4.455
8126,Brazil,Timor-Leste,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),4.452
8127,Thailand,Sri Lanka,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,4.446484161
8128,Guatemala,Moldova,Latin America and the Caribbean,Europe,4.444
8129,Nepal,Austria,Central and Southern Asia,Europe,4.44372322
8130,Panama,Romania,Latin America and the Caribbean,Europe,4.4415
8131,Pakistan,Afghanistan,Central and Southern Asia,Central and Southern Asia,4.441
8132,Malaysia,Jamaica,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,4.429
8133,Singapore,Belarus,Eastern and South-Eastern Asia (excl. China),Europe,4.427
8134,Philippines,Ireland,Eastern and South-Eastern Asia (excl. China),Europe,4.42431
