,Exporter,Importer,Exporter_region,Import_region,Weight
11193,Sri Lanka,Haiti,Central and Southern Asia,Latin America and the Caribbean,0.01
11194,Pakistan,Uganda,Central and Southern Asia,Sub-Saharan Africa,0.01
11195,Ukraine,Fiji,Europe,Oceania (excl. Australia and New Zealand),0.01
11196,Paraguay,Colombia,Latin America and the Caribbean,Latin America and the Caribbean,0.01
11197,Slovakia,Greece,Europe,Europe,0.01
11198,Ethiopia,Nigeria,Sub-Saharan Africa,Sub-Saharan Africa,0.01
11199,Paraguay,Moldova,Latin America and the Caribbean,Europe,0.01
11200,Zimbabwe,Mexico,Sub-Saharan Africa,Latin America and the Caribbean,0.01
11201,Ukraine,Saint Lucia,Europe,Latin America and the Caribbean,0.01
11202,Zimbabwe,Singapore,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.01
11203,Syria,Finland,Northern Africa and Western Asia,Europe,0.01
11204,Turkey,Honduras,Northern Africa and Western Asia,Latin America and the Caribbean,0.01
11205,Haiti,Turks and Caicos Islands,Latin America and the Caribbean,Latin America and the Caribbean,0.01
11206,Namibia,Bosnia Herzegovina,Sub-Saharan Africa,Europe,0.01
11207,Lebanon,Ethiopia,Northern Africa and Western Asia,Sub-Saharan Africa,0.01
11208,Namibia,Bulgaria,Sub-Saharan Africa,Europe,0.01
11209,Guinea,Portugal,Sub-Saharan Africa,Europe,0.01
11210,Peru,Portugal,Latin America and the Caribbean,Europe,0.01
11211,Cyprus,China,Northern Africa and Western Asia,China,0.01
11212,Lebanon,Montenegro,Northern Africa and Western Asia,Europe,0.01
11213,Saudi Arabia,Cameroon,Northern Africa and Western Asia,Sub-Saharan Africa,0.01
11214,"Korea, Democratic People’s Republic",French Polynesia,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),0.01
11215,Moldova,Malta,Europe,Europe,0.01
11216,Grenada,Antigua and Barbuda,Latin America and the Caribbean,Latin America and the Caribbean,0.01
11217,Nigeria,North Macedonia,Sub-Saharan Africa,Europe,0.01
11218,"Korea, Democratic People’s Republic",Poland,Eastern and South-Eastern Asia (excl. China),Europe,0.01
11219,Bolivia,Ukraine,Latin America and the Caribbean,Europe,0.01
11220,Lebanon,"China, Hong Kong SAR",Northern Africa and Western Asia,China,0.01
11221,Zimbabwe,Belize,Sub-Saharan Africa,Latin America and the Caribbean,0.01
11222,Egypt,Peru,Northern Africa and Western Asia,Latin America and the Caribbean,0.01
11223,Grenada,Zambia,Latin America and the Caribbean,Sub-Saharan Africa,0.01
11224,Croatia,Argentina,Europe,Latin America and the Caribbean,0.01
11225,Slovenia,Nicaragua,Europe,Latin America and the Caribbean,0.01
11226,"China, Macao SAR",Kuwait,China,Northern Africa and Western Asia,0.01
11227,Zimbabwe,Thailand,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.01
11228,Tunisia,United Arab Emirates,Northern Africa and Western Asia,Northern Africa and Western Asia,0.01
11229,Lesotho,United Kingdom,Sub-Saharan Africa,Europe,0.01
11230,Brazil,Yemen,Latin America and the Caribbean,Northern Africa and Western Asia,0.01
11231,Uganda,Turkey,Sub-Saharan Africa,Northern Africa and Western Asia,0.01
11232,Iran,Malawi,Central and Southern Asia,Sub-Saharan Africa,0.01
11233,Chile,Fiji,Latin America and the Caribbean,Oceania (excl. Australia and New Zealand),0.01
11234,Lithuania,Bermuda,Europe,Northern America,0.01
11235,Algeria,Panama,Northern Africa and Western Asia,Latin America and the Caribbean,0.01
11236,Trinidad and Tobago,Cambodia,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),0.01
11237,Iran,North Macedonia,Central and Southern Asia,Europe,0.01
11238,Estonia,Iran,Europe,Central and Southern Asia,0.01
11239,Gambia,Spain,Sub-Saharan Africa,Europe,0.01
11240,Pakistan,Hungary,Central and Southern Asia,Europe,0.01
11241,Colombia,Senegal,Latin America and the Caribbean,Sub-Saharan Africa,0.01
11242,Eswatini,Bangladesh,Sub-Saharan Africa,Central and Southern Asia,0.01
11243,Comoros,Namibia,Sub-Saharan Africa,Sub-Saharan Africa,0.01
11244,Lao PDR,Finland,Eastern and South-Eastern Asia (excl. China),Europe,0.01
11245,Estonia,Mongolia,Europe,Eastern and South-Eastern Asia (excl. China),0.01
11246,Morocco,Honduras,Northern Africa and Western Asia,Latin America and the Caribbean,0.01
11247,Bahrain,Senegal,Northern Africa and Western Asia,Sub-Saharan Africa,0.01
11248,Rwanda,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,0.01
